Year,Country,Winner,Winner Ab,Second,Second Ab,Third,Third Ab,Fourth,Fourth Ab,GoalsScored,QualifiedTeams,MatchesPlayed,Attendance
1930,Uruguay,Uruguay,URU,Argentina,ARG,USA,USA,Yugoslavia,YUG,70,13,18,590.549
1934,Italy,Italy,ITA,Czechoslovakia,CZE,Germany,GER,Austria,AUT,70,16,17,363.000
1938,France,Italy,ITA,Hungary,HUN,Brazil,BRA,Sweden,SWE,84,15,18,375.700
1950,Brazil,Uruguay,URU,Brazil,BRA,Sweden,SWE,Spain,ESP,88,13,22,1.045.246
1954,Switzerland,Germany FR,GER,Hungary,HUN,Austria,AUT,Uruguay,URU,140,16,26,768.607
1958,Sweden,Brazil,BRA,Sweden,SWE,France,FRA,Germany FR,GER,126,16,35,819.810
1962,Chile,Brazil,BRA,Czechoslovakia,CZE,Chile,CHI,Yugoslavia,YUG,89,16,32,893.172
1966,England,England,GBR,Germany FR,GER,Portugal,POR,Soviet Union,URS,89,16,32,1.563.135
1970,Mexico,Brazil,BRA,Italy,ITA,Germany FR,GER,Uruguay,URU,95,16,32,1.603.975
1974,Germany,Germany FR,GER,Netherlands,NED,Poland,POL,Brazil,BRA,97,16,38,1.865.753
1978,Argentina,Argentina,ARG,Netherlands,NED,Brazil,BRA,Italy,ITA,102,16,38,1.545.791
1982,Spain,Italy,ITA,Germany FR,GER,Poland,POL,France,FRA,146,24,52,2.109.723
1986,Mexico,Argentina,ARG,Germany FR,GER,France,FRA,Belgium,BEL,132,24,52,2.394.031
1990,Italy,Germany FR,GER,Argentina,ARG,Italy,ITA,England,GBR,115,24,52,2.516.215
1994,USA,Brazil,BRA,Italy,ITA,Sweden,SWE,Bulgaria,BUL,141,24,52,3.587.538
1998,France,France,FRA,Brazil,BRA,Croatia,CRO,Netherlands,NED,171,32,64,2.785.100
2002,Korea/Japan,Brazil,BRA,Germany,GER,Turkey,TUR,Korea Republic,KOR,161,32,64,2.705.197
2006,Germany,Italy,ITA,France,FRA,Germany,GER,Portugal,POR,147,32,64,3.359.439
2010,South Africa,Spain,ESP,Netherlands,NED,Germany,GER,Uruguay,URU,145,32,64,3.178.856
2014,Brazil,Germany,GER,Argentina,ARG,Netherlands,NED,Brazil,BRA,171,32,64,3.386.810
